iter	RMSE
495	14011.41976
496	13997.6519
497	13983.411
498	13973.85834
499	13963.15305
500	13947.53595
501	13938.58019
502	13926.05299
503	13900.74356
504	13893.87012
505	13884.31229
506	13868.03552
507	13857.55481
508	13836.65287
509	13816.16079
510	13780.97719
511	13773.47083
512	13763.74544
513	13756.65637
514	13745.20523
515	13730.93976
516	13723.79869
517	13705.34178
518	13694.45398
519	13675.51963
520	13664.88942
521	13651.26265
522	13641.67337
523	13621.82511
524	13613.68563
525	13599.5685
526	13584.92472
527	13577.42507
528	13573.12389
529	13557.94839
530	13553.51693
531	13546.03149
532	13539.34268
533	13534.68329
534	13527.93124
535	13519.99581
536	13511.92064
537	13496.59299
538	13493.13898
539	13489.16039
540	13483.47903
541	13479.42715
542	13475.10637
543	13467.56656
544	13440.17375
545	13431.00404
546	13423.68427
547	13414.06841
548	13407.61301
549	13386.10741
550	13371.60832
551	13359.2135
552	13353.11014
553	13340.95707
554	13326.26914
555	13321.33564
556	13315.21154
557	13297.04388
558	13287.99891
559	13282.78211
560	13266.45474
561	13258.95357
562	13246.98698
563	13232.8082
564	13215.40324
565	13197.91923
566	13188.44302
567	13179.73225
568	13165.2482
569	13157.30398
570	13145.50687
571	13126.60747
572	13123.95649
573	13109.90141
574	13106.00696
575	13088.3973
576	13077.96187
577	13057.96717
578	13039.39893
579	13019.64312
580	13014.5732
581	12996.61834
582	12990.00766
583	12975.3176
584	12967.526
585	12958.18039
586	12949.2015
587	12943.36234
588	12938.36886
589	12929.89259
590	12924.28473
591	12909.58207
592	12894.43149
593	12883.3794
594	12873.27105
595	12858.87458
596	12844.94803
597	12822.34882
598	12812.58857
599	12805.92632
600	12800.87501
601	12784.01911
602	12776.22903
603	12761.71257
604	12745.46083
605	12737.61703
606	12731.73814
607	12710.89854
608	12704.17823
609	12693.56603
610	12685.61612
611	12672.21114
612	12655.78216
613	12641.14474
614	12621.39997
615	12607.20537
616	12592.71792
617	12589.32701
618	12568.45949
619	12549.56505
620	12537.23687
621	12530.56362
622	12521.01593
623	12504.29206
624	12490.22593
625	12484.03798
626	12476.88705
627	12462.53793
628	12455.42435
629	12439.52309
630	12420.16961
631	12408.79964
632	12403.7829
633	12390.13537
634	12372.83804
635	12351.174
636	12350.6613
637	12338.11308
638	12333.06112
639	12316.61518
640	12303.34472
641	12294.16502
642	12277.13075
643	12261.09741
644	12245.00464
645	12239.81272
646	12222.85043
647	12209.17108
648	12193.16489
649	12183.44216
650	12176.21591
651	12166.76787
652	12155.50919
653	12151.5476
654	12129.35833
655	12122.48447
656	12106.238
657	12097.79889
658	12090.03788
659	12068.44452
660	12062.14892
661	12050.26346
662	12041.36028
663	12030.26814
664	12004.89233
665	11990.1819
666	11980.9354
667	11970.83123
668	11957.20331
669	11950.67631
670	11944.18341
671	11938.64701
672	11937.51689
673	11928.84923
674	11916.67241
675	11905.7662
676	11905.48729
677	11901.43813
678	11888.7267
679	11874.36501
680	11868.98036
681	11864.6531
682	11855.47182
683	11844.68577
684	11834.91178
685	11831.79949
686	11817.94792
687	11813.60587
688	11799.37832
689	11794.04536
690	11785.44574
691	11775.75253
692	11762.96263
693	11755.30642
694	11741.91238
695	11723.53858
696	11716.49642
697	11703.21019
698	11694.38048
699	11683.87907
700	11670.92366
701	11660.00604
702	11648.3755
703	11632.87021
704	11620.91668
705	11615.10705
706	11602.27533
707	11595.56461
708	11583.40797
709	11578.39738
710	11571.057
711	11566.60163
712	11558.99702
713	11539.35465
714	11527.87756
715	11521.75037
716	11511.61646
717	11511.36641
718	11497.48453
719	11491.32118
720	11479.30954
721	11465.30578
722	11460.40925
723	11450.09969
724	11441.81532
725	11430.07116
726	11418.46067
727	11406.33078
728	11396.63571
729	11387.12198
730	11378.4572
731	11370.73053
732	11364.8572
733	11362.52518
734	11356.57194
735	11345.60472
736	11333.2197
737	11330.1935
738	11326.58582
739	11318.3316
740	11310.95724
741	11300.95414
742	11284.75847
743	11280.5684
744	11270.76932
745	11265.21948
746	11263.21143
747	11248.85755
748	11247.35866
749	11235.76652
750	11224.82543
751	11210.69704
752	11196.54247
753	11186.98363
754	11176.47802
755	11172.92373
756	11169.43241
757	11160.11454
758	11141.85182
759	11131.09931
760	11130.44599
761	11120.28555
762	11110.68282
763	11097.61854
764	11088.67759
765	11082.28698
766	11071.84234
767	11059.78565
768	11056.97256
769	11045.26826
770	11045.06153
771	11031.85822
772	11025.70955
773	11017.67355
774	11006.84505
775	10997.7992
776	10985.57128
777	10969.82025
778	10963.17209
779	10962.0134
780	10950.85741
781	10943.93203
782	10933.95434
783	10921.813
784	10915.77016
785	10905.05128
786	10898.8505
787	10890.5693
788	10883.53368
789	10876.79613
790	10875.04069
791	10869.77993
792	10859.20811
793	10854.30732
794	10848.22673
795	10847.82425
796	10833.79279
797	10829.9664
798	10826.48081
799	10818.07976
800	10804.3839
801	10798.3611
802	10793.11658
803	10785.91876
804	10777.46607
805	10772.22826
806	10762.61945
807	10755.76004
808	10743.91178
809	10736.14126
810	10724.04354
811	10716.99715
812	10710.20894
813	10699.67699
814	10689.17322
815	10683.08116
816	10667.91361
817	10667.68047
818	10661.22515
819	10651.32786
820	10643.98311
821	10639.81887
822	10630.80776
823	10626.30729
824	10622.36473
825	10614.20832
826	10605.29917
827	10596.55789
828	10589.21894
829	10574.58579
830	10563.79179
831	10559.73559
832	10549.92715
833	10545.48651
834	10542.96535
835	10531.89877
836	10528.35459
837	10528.1176
838	10512.67059
839	10505.65626
840	10501.68105
841	10494.31532
842	10482.77698
843	10473.2223
844	10467.50469
845	10458.50645
846	10438.77004
847	10433.44095
848	10428.26638
849	10418.2879
850	10407.36903
851	10395.41006
852	10390.2595
853	10385.20674
854	10376.88233
855	10369.43287
856	10365.85768
857	10359.32845
858	10355.62283
859	10344.73939
860	10335.64236
861	10326.24629
862	10319.43843
863	10316.62718
864	10302.26516
865	10296.42504
866	10291.89981
867	10286.17928
868	10281.37664
869	10272.69812
870	10265.64033
871	10260.19465
872	10257.31341
873	10252.0012
874	10229.37534
875	10229.18663
876	10222.22628
877	10217.72368
878	10213.09114
879	10204.98581
880	10196.90064
881	10190.57034
882	10188.57774
883	10188.3927
884	10180.59117
885	10174.61791
886	10163.73397
887	10156.88645
888	10153.09004
889	10147.16146
890	10143.26102
891	10131.97029
892	10124.74831
893	10109.58257
894	10107.19509
895	10101.14199
896	10099.15854
897	10087.04552
898	10078.14969
899	10073.01291
900	10065.45456
901	10055.51965
902	10047.3801
903	10045.12127
904	10037.95358
905	10031.04198
906	10021.50259
907	10014.23208
908	10000.80279
909	9996.953089
910	9985.4715
911	9978.027697
912	9967.760762
913	9959.896271
914	9954.821713
915	9947.5959
916	9937.286391
917	9929.549707
918	9923.329713
919	9919.583305
920	9915.171132
921	9910.054684
922	9901.555458
923	9889.867429
924	9882.283687
925	9872.779253
926	9867.089014
927	9857.419252
928	9853.331105
929	9841.836272
930	9829.257549
931	9827.04321
932	9826.451073
933	9817.380842
934	9809.266468
935	9798.989636
936	9790.017958
937	9781.795258
938	9781.004545
939	9769.488539
940	9762.914935
941	9756.235091
942	9752.911325
943	9749.387469
944	9734.39064
945	9724.570189
946	9715.135871
947	9708.20284
948	9697.501418
949	9683.395811
950	9675.074151
951	9667.967839
952	9663.644638
953	9660.57058
954	9656.639439
955	9648.712184
956	9638.257111
957	9630.956269
958	9628.198117
959	9617.613155
960	9607.5388
961	9596.29685
962	9580.93823
963	9580.779001
964	9570.274601
965	9565.866357
966	9561.376427
967	9556.230937
968	9549.09697
969	9541.038992
970	9534.629241
971	9531.459878
972	9521.372449
973	9511.393818
974	9500.188449
975	9494.342021
976	9490.055446
977	9477.409305
978	9467.856218
979	9461.246989
980	9451.02157
981	9446.928646
982	9435.490888
983	9435.098216
984	9425.547761
985	9419.092294
986	9414.979871
987	9411.243861
988	9400.336464
989	9391.603449
990	9380.22202
991	9366.141015
992	9357.789279
993	9353.749539
994	9345.872781
995	9342.052505
996	9329.991773
997	9315.418992
998	9312.460435
999	9306.666319
